#{"t_start": 1740424077.2655869, "env_id": "ALE/Breakout-ram-v5"}
r,l,t
3.0,244,1.021873
2.0,179,1.10603
2.0,196,1.19717
0.0,120,1.255304
2.0,178,1.339666
0.0,120,1.397886
2.0,195,1.48876
3.0,246,1.602126
0.0,120,1.661038
1.0,148,1.731533
2.0,196,1.822286
2.0,196,1.913228
2.0,196,2.004717
2.0,198,2.096746
2.0,195,2.18787
2.0,197,2.279865
1.0,149,2.351701
0.0,120,2.40955
1.0,149,2.480214
2.0,195,2.570958
0.0,120,2.629773
0.0,121,2.688157
1.0,166,2.768408
12.0,496,2.995859
2.0,179,3.080714
2.0,195,3.172282
1.0,169,3.253488
2.0,196,3.347172
2.0,195,3.438444
6.0,301,3.575462
0.0,120,3.633612
0.0,121,3.692452
2.0,215,3.79311
2.0,195,3.884376
1.0,150,3.955659
0.0,120,4.014114
2.0,195,4.105846
4.0,293,4.2398
2.0,195,4.330935
6.0,301,4.469075
1.0,149,4.540752
2.0,179,4.625243
4.0,296,4.775607
2.0,197,4.874835
2.0,195,4.973224
0.0,121,5.032897
2.0,195,5.124365
0.0,120,5.182639
0.0,120,5.241698
0.0,120,5.300154
0.0,120,5.358441
3.0,243,5.470313
0.0,120,5.529106
0.0,121,5.587989
2.0,195,5.718372
0.0,120,5.83555
1.0,168,6.003374
0.0,120,6.129567
2.0,195,6.325378
1.0,149,6.47147
0.0,120,6.647197
2.0,197,6.970532
1.0,148,7.115201
0.0,120,7.231465
0.0,120,7.354787
1.0,148,7.497191
0.0,121,7.616353
2.0,195,7.802734
1.0,148,7.947543
0.0,120,8.06491
3.0,243,8.298985
2.0,196,8.487242
3.0,244,8.722124
3.0,223,8.990276
2.0,195,9.258406
2.0,195,9.449085
2.0,179,9.627697
3.0,244,9.864947
5.0,317,10.166605
2.0,195,10.356799
2.0,195,10.594876
0.0,120,10.783684
0.0,120,10.916996
2.0,195,11.111043
3.0,210,11.318647
0.0,120,11.443022
1.0,166,11.612487
0.0,120,11.737377
0.0,120,11.877521
2.0,179,12.181325
2.0,197,12.381241
2.0,195,12.569066
2.0,196,12.763923
2.0,196,12.95568
0.0,120,13.076463
1.0,149,13.225138
0.0,122,13.349349
4.0,294,13.631517
2.0,218,13.841355
2.0,177,14.014761
4.0,317,14.480452
5.0,343,14.817205
1.0,149,14.971078
0.0,120,15.091048
2.0,195,15.283149
0.0,120,15.403851
12.0,496,15.883459
0.0,120,16.005861
2.0,195,16.200181
0.0,120,16.323529
0.0,120,16.44619
0.0,120,16.565819
0.0,120,16.689842
3.0,223,16.913069
4.0,239,17.148818
2.0,179,17.325063
3.0,230,17.55722
2.0,195,17.762575
0.0,120,17.936632
2.0,195,18.208946
2.0,195,18.406005
0.0,120,18.527572
0.0,120,18.653551
0.0,120,18.777147
0.0,121,18.903356
2.0,196,19.097706
2.0,216,19.309932
2.0,195,19.504906
0.0,120,19.628457
2.0,195,19.825491
6.0,301,20.122855
0.0,120,20.250841
2.0,180,20.433847
3.0,223,20.658401
2.0,195,20.882614
2.0,179,21.173923
0.0,121,21.312788
2.0,179,21.49391
0.0,120,21.621969
3.0,245,21.872486
2.0,195,22.075281
2.0,195,22.275602
0.0,120,22.402875
2.0,179,22.606429
0.0,120,22.742357
0.0,120,22.868859
3.0,226,23.101756
1.0,148,23.265855
0.0,120,23.391464
4.0,272,23.731994
3.0,242,24.053651
2.0,196,24.253217
2.0,195,24.53538
2.0,179,24.771817
4.0,316,25.100221
3.0,210,25.438285
0.0,120,25.577755
1.0,168,25.752168
0.0,121,25.879949
0.0,120,26.008632
2.0,178,26.295438
3.0,210,26.577709
3.0,210,26.793298
0.0,120,26.926537
1.0,148,27.081109
3.0,224,27.306194
0.0,120,27.431446
2.0,195,27.633025
0.0,120,27.761587
0.0,120,27.888043
2.0,195,28.089255
2.0,195,28.28911
0.0,120,28.417881
2.0,179,28.603279
2.0,195,28.800043
0.0,120,28.926517
0.0,120,29.052326
0.0,120,29.177371
3.0,242,29.424037
2.0,198,29.727409
2.0,179,29.92504
2.0,196,30.128696
2.0,196,30.335457
2.0,195,30.538209
2.0,195,30.739765
0.0,120,30.864486
2.0,195,31.063488
2.0,195,31.266229
1.0,166,31.441248
2.0,195,31.641173
0.0,120,31.766376
2.0,179,31.951901
2.0,179,32.140216
2.0,195,32.342802
2.0,195,32.543083
3.0,224,32.777444
1.0,149,32.936213
3.0,210,33.157322
2.0,195,33.363143
0.0,120,33.492988
2.0,195,33.707484
3.0,224,33.94253
0.0,120,34.073123
2.0,195,34.276661
5.0,342,34.63165
3.0,225,34.865159
0.0,120,34.993737
2.0,195,35.20046
0.0,120,35.332824
1.0,148,35.490236
1.0,167,35.66713
0.0,120,35.799848
0.0,120,35.92915
1.0,151,36.089415
0.0,120,36.220853
2.0,195,36.428287
1.0,148,36.589844
0.0,120,36.719232
0.0,120,36.849046
3.0,223,37.086162
1.0,148,37.249582
1.0,167,37.429355
6.0,323,37.76316
0.0,120,37.891358
