#{"t_start": 1740359994.9268658, "env_id": "ALE/Breakout-v5"}
r,l,t
1.0,207,1.985445
2.0,239,2.157058
0.0,170,2.288232
4.0,322,2.535071
0.0,142,2.649326
1.0,204,2.803504
2.0,234,2.992037
0.0,156,3.125768
1.0,217,3.301897
3.0,300,3.534657
0.0,182,3.675534
2.0,243,3.873739
0.0,183,4.020862
2.0,218,4.190343
3.0,309,4.424039
1.0,204,4.760827
1.0,201,5.103522
2.0,248,5.488356
2.0,225,5.842543
1.0,195,6.243219
3.0,290,6.713222
4.0,332,6.953138
2.0,258,7.145649
1.0,200,7.293612
3.0,279,7.509018
1.0,196,7.708509
2.0,247,7.885248
3.0,274,8.081382
1.0,206,8.235693
1.0,189,8.374183
2.0,226,8.551339
2.0,260,8.742825
5.0,367,9.010526
0.0,173,9.138412
1.0,215,9.292927
3.0,264,9.500354
0.0,155,9.620434
2.0,220,9.784841
4.0,325,10.022901
1.0,205,10.273931
2.0,249,10.707127
0.0,155,10.978217
2.0,258,11.41748
2.0,260,11.859158
2.0,270,12.339637
3.0,298,12.600096
3.0,285,12.811454
1.0,213,12.967526
5.0,363,13.279353
3.0,298,13.490486
2.0,230,13.660725
1.0,216,13.816121
2.0,236,13.992947
3.0,270,14.188712
4.0,340,14.430675
4.0,327,14.665115
0.0,183,14.801232
1.0,195,14.945289
0.0,140,15.054836
2.0,246,15.233046
0.0,147,15.348749
2.0,242,15.530624
2.0,229,15.697478
2.0,254,15.986358
2.0,264,16.396538
3.0,304,16.884476
0.0,161,17.137797
1.0,206,17.45503
3.0,277,17.896377
2.0,243,18.169782
3.0,270,18.374409
2.0,229,18.636112
2.0,227,18.835824
3.0,306,19.072063
2.0,239,19.252428
1.0,202,19.504641
2.0,213,19.683365
4.0,332,19.92748
1.0,218,20.085401
2.0,242,20.269451
2.0,245,20.453301
2.0,240,20.635416
3.0,287,20.851007
1.0,201,21.00474
6.0,437,21.317136
0.0,167,21.441182
3.0,283,21.849094
1.0,197,22.283175
1.0,218,22.64512
2.0,255,23.046463
1.0,208,23.376945
1.0,219,23.746199
2.0,252,23.945715
5.0,381,24.23528
1.0,199,24.400656
0.0,164,24.527715
1.0,220,24.70007
3.0,294,24.918217
4.0,298,25.138434
1.0,201,25.291778
2.0,242,25.480211
4.0,324,25.714717
2.0,237,25.890982
4.0,303,26.1127
0.0,171,26.24418
2.0,237,26.425398
2.0,244,26.607033
2.0,211,26.766455
4.0,308,26.996686
1.0,206,27.149377
2.0,252,27.560275
0.0,149,27.801243
2.0,250,28.218087
3.0,311,28.892771
2.0,226,29.264214
2.0,228,29.633593
