#{"t_start": 1740379874.6132984, "env_id": "ALE/Breakout-v5"}
r,l,t
2.0,264,5.006235
1.0,193,5.351088
0.0,144,5.657141
8.0,393,6.472596
3.0,298,7.050883
2.0,239,7.490097
0.0,163,7.756591
2.0,251,8.169456
1.0,216,8.519892
4.0,331,9.066248
3.0,277,9.544862
4.0,335,10.078509
2.0,224,10.430762
2.0,198,10.746226
1.0,203,11.066396
2.0,275,11.530146
0.0,151,11.765088
4.0,334,12.277494
0.0,158,12.528531
1.0,218,12.856761
0.0,156,13.110189
1.0,203,13.421241
1.0,201,13.751208
1.0,213,14.078419
0.0,158,14.318891
4.0,357,14.861576
2.0,233,15.217528
1.0,217,15.542439
1.0,221,15.872946
4.0,297,16.319403
0.0,165,16.577948
2.0,222,16.929448
0.0,178,17.222537
2.0,253,17.61533
1.0,182,17.902363
1.0,194,18.212513
5.0,354,18.744351
6.0,400,19.359927
2.0,256,19.749049
1.0,196,20.050989
1.0,178,20.360943
3.0,272,20.787198
2.0,241,21.160735
2.0,252,21.994267
0.0,130,22.206631
2.0,226,22.553472
3.0,277,22.978445
0.0,165,23.234936
1.0,208,23.549274
4.0,352,24.190619
3.0,276,24.617358
0.0,155,24.87002
3.0,268,25.291127
0.0,174,25.562664
1.0,210,25.893837
3.0,285,26.337982
0.0,178,26.615464
2.0,228,26.963389
0.0,160,27.210287
0.0,154,27.448759
2.0,236,27.809627
1.0,188,28.100488
5.0,333,28.598426
0.0,152,28.830647
2.0,229,29.180647
1.0,205,29.508571
0.0,183,29.787811
1.0,210,30.103467
1.0,185,30.386768
1.0,203,30.694855
4.0,302,31.151699
2.0,244,31.521992
0.0,150,31.754877
2.0,266,32.151186
2.0,229,32.508345
0.0,171,32.769564
1.0,212,33.091228
4.0,339,33.608998
3.0,272,34.022953
1.0,205,34.331177
1.0,202,34.640484
0.0,164,34.890583
1.0,212,35.213294
2.0,247,35.594019
1.0,180,35.871673
2.0,250,36.255902
1.0,214,36.592475
3.0,295,37.037558
3.0,303,37.496433
2.0,249,37.880443
1.0,188,38.169809
2.0,245,38.543125
2.0,242,38.91537
2.0,244,39.286435
3.0,298,39.733969
2.0,264,40.14129
2.0,239,40.506051
4.0,298,40.966923
2.0,252,41.365065
1.0,219,41.701815
1.0,218,42.046189
1.0,202,42.366268
5.0,372,42.946231
2.0,266,43.350751
2.0,231,43.742913
0.0,169,44.009131
1.0,195,44.394604
2.0,221,44.745944
3.0,292,45.20117
2.0,229,45.560378
1.0,213,46.197242
2.0,254,46.608218
1.0,195,46.919176
0.0,149,47.174307
5.0,358,47.748973
2.0,261,48.146209
1.0,192,48.437735
1.0,212,48.755797
4.0,342,49.271166
2.0,214,49.594012
3.0,255,49.983181
2.0,236,50.359998
4.0,341,50.870603
4.0,347,51.455807
6.0,442,52.155999
1.0,206,52.478052
3.0,294,52.927837
1.0,193,53.226715
0.0,156,53.465236
6.0,363,54.007898
0.0,136,54.217337
0.0,178,54.482921
2.0,232,54.838447
1.0,194,55.157114
4.0,308,55.627391
2.0,237,55.990861
